country,year,gender,age,nobs_log_inc,std_log_inc,nobs_res_1yr_log_chg,std_res_1yr_log_chg,kurt_res_1yr_log_chg,p1_res_1yr_log_chg,p2_5_res_1yr_log_chg,p5_res_1yr_log_chg,p10_res_1yr_log_chg,p12_5_res_1yr_log_chg,p25_res_1yr_log_chg,p37_5_res_1yr_log_chg,p50_res_1yr_log_chg,p62_5_res_1yr_log_chg,p75_res_1yr_log_chg,p87_5_res_1yr_log_chg,p90_res_1yr_log_chg,p95_res_1yr_log_chg,p97_5_res_1yr_log_chg,p99_res_1yr_log_chg,p99_9_res_1yr_log_chg,p99_99_res_1yr_log_chg,p9010_res_1yr_log_chg,p9050_res_1yr_log_chg,p5010_res_1yr_log_chg,nobs_res_5yr_log_chg,std_res_5yr_log_chg,kurt_res_5yr_log_chg
GER,2003,Male,25-55,12592980.0,0.77752143,11452570.0,0.39261866,17.327738,-1.5219371,-0.9833644,-0.53888535,-0.19695137,-0.13718013,-0.050240569,-0.018898066,0.00073906156,0.021337984,0.05298442,0.14653498,0.2015522,0.50150496,0.87869239,1.3484095,2.2642934,2.7714968,0.39850357,0.20081313,0.19769044,9443970.0,0.5315243,11.376928
GER,2004,Male,25-55,12419180.0,0.79742134,11260840.0,0.38830802,18.00465,-1.5074403,-0.95794821,-0.52721411,-0.20447741,-0.14906462,-0.064762883,-0.032423515,-0.012954652,0.0071597928,0.038411394,0.13239889,0.18863381,0.48841867,0.8697626,1.3264735,2.2735167,2.7847931,0.39311123,0.20158847,0.19152276,9277680.0,0.54504675,11.126059
GER,2005,Male,25-55,12165100.0,0.80451787,11179110.0,0.38290066,19.506977,-1.3760821,-0.81563276,-0.42310351,-0.16516182,-0.1251087,-0.0526614,-0.024071861,-0.0047713439,0.017475765,0.053296808,0.16313177,0.22847994,0.56274462,0.95441681,1.3950026,2.2850323,2.7753413,0.39364177,0.23325127,0.16039048,9188770.0,0.54137772,11.105964
GER,2006,Male,25-55,12214170.0,0.81000745,11316650.0,0.38245982,18.981018,-1.3163149,-0.76061136,-0.39105105,-0.16279899,-0.12934856,-0.056384437,-0.027847566,-0.0068456116,0.017890468,0.05882439,0.18952215,0.26393607,0.59740114,0.97660637,1.4276419,2.3179381,2.7786448,0.42673504,0.2707817,0.15595338,9290780.0,0.53341204,11.196998
GER,2007,Male,25-55,12372910.0,0.80503488,11446430.0,0.37530386,18.655228,-1.3180835,-0.78231692,-0.41723552,-0.17844741,-0.14102444,-0.062485136,-0.030260006,-0.0073602088,0.016699372,0.054489564,0.17292409,0.240739,0.55991161,0.92424947,1.3728216,2.3040833,2.7690651,0.41918641,0.24809921,0.17108721,9366610.0,0.52637112,11.251986
GER,2008,Male,25-55,12429740.0,0.80197245,11366980.0,0.39003953,17.354662,-1.5064636,-0.98531008,-0.55767155,-0.23619863,-0.17919587,-0.070711397,-0.025672421,0.0019727391,0.026782153,0.05903241,0.15503062,0.20873478,0.48177657,0.84386992,1.293645,2.2529156,2.7585814,0.44493341,0.20676205,0.23817137,9389830.0,0.52188784,11.400301
GER,2009,Male,25-55,12222590.0,0.81366116,11270520.0,0.38123736,18.61532,-1.3771365,-0.82908922,-0.43672144,-0.17499311,-0.13143201,-0.052514929,-0.022959379,-0.0027996276,0.02113306,0.061239231,0.17534672,0.23796694,0.55802035,0.93485242,1.3735183,2.2362695,2.7710023,0.41296005,0.24076657,0.17219348,9238090.0,0.53497565,10.873379
GER,2010,Male,25-55,12274870.0,0.8159126,11378830.0,0.37879649,17.920113,-1.2610995,-0.72996706,-0.37981841,-0.16767564,-0.13380201,-0.057765,-0.027866708,-0.0061977971,0.02051661,0.068050146,0.20606746,0.28243411,0.61889654,0.98488551,1.4241461,2.31744,2.7879486,0.45010975,0.28863192,0.16147785,9252610.0,0.53476924,10.750692
GER,2011,Male,25-55,12464370.0,0.81416965,11502230.0,0.37273699,17.937021,-1.3012748,-0.7678557,-0.40381789,-0.17401591,-0.13677379,-0.05802875,-0.026211822,-0.0031074148,0.023031678,0.063957535,0.18600661,0.25246596,0.56217539,0.93343246,1.3804485,2.3078296,2.8400586,0.42648187,0.25557339,0.1709085,9331750.0,0.53019834,11.007771
GER,2012,Male,25-55,12534610.0,0.81241333,11581730.0,0.37120748,18.081524,-1.3117769,-0.77724773,-0.41285673,-0.16703732,-0.12548369,-0.048650585,-0.017764598,0.0047436492,0.029742239,0.067762256,0.18352149,0.24638914,0.55066431,0.9241038,1.364572,2.2816784,2.8392887,0.41342646,0.24164549,0.17178097,,,
